trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
274,False,"{'a': 0.7259999999999998, 'e': 0.06368590427489448}",30,7,40.778868150156754,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.7249999999999998, 'e': 0.06304904523214554}",25,10,25.880078530326355,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.7239999999999998, 'e': 0.06241855477982408}",25,9,31.03031996411394,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.7229999999999998, 'e': 0.06179436923202584}",20,0,32.92603402694999,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
278,False,"{'a': 0.7219999999999998, 'e': 0.06117642553970558}",25,20,11.42480584958801,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.7209999999999998, 'e': 0.06056466128430853}",25,8,29.216780760031096,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.7199999999999998, 'e': 0.05995901467146544}",20,13,14.586240895000419,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.7189999999999998, 'e': 0.059359424524750785}",20,11,17.303576258218555,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.7179999999999997, 'e': 0.05876583027950327}",35,28,13.490542987382991,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.7169999999999997, 'e': 0.05817817197670824}",20,9,20.492409381488315,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.7159999999999997, 'e': 0.05759639025694116}",35,18,30.18053369916255,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.7149999999999997, 'e': 0.057020426354371746}",25,13,24.18540867732057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.7139999999999997, 'e': 0.05645022209082803}",25,15,16.994012102242962,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.7129999999999997, 'e': 0.05588571986991975}",25,8,31.71016680847245,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.7119999999999997, 'e': 0.05532686267122055}",25,6,27.465283530981814,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.7109999999999997, 'e': 0.05477359404450834}",30,17,22.653920861782506,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.7099999999999997, 'e': 0.05422585810406326}",20,11,16.333354811365076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.7089999999999997, 'e': 0.05368359952302263}",25,2,40.529869040717934,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.7079999999999997, 'e': 0.0531467635277924}",30,19,21.30086439197754,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.7069999999999997, 'e': 0.05261529589251448}",20,12,13.408411371058016,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.7059999999999997, 'e': 0.05208914293358933}",30,12,25.647178229771576,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.7049999999999997, 'e': 0.05156825150425344}",35,24,19.109341680914508,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.7039999999999997, 'e': 0.0510525689892109}",35,18,28.98987985028177,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.7029999999999997, 'e': 0.050542043299318794}",20,14,10.20947595984784,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.7019999999999997, 'e': 0.050036622866325604}",30,4,42.874215767414476,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.7009999999999997, 'e': 0.04953625663766235}",25,13,20.23233298769303,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.6999999999999997, 'e': 0.04904089407128572}",25,13,24.110292587128264,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.6989999999999997, 'e': 0.04855048513057287}",25,14,14.563911953633658,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.6979999999999997, 'e': 0.04806498027926714}",20,7,26.040305781904575,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.6969999999999997, 'e': 0.047584330476474465}",25,15,21.363133690732116,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.6959999999999997, 'e': 0.04710848717170972}",20,15,8.496751215465377,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.6949999999999997, 'e': 0.04663740229999262}",25,0,38.53197617232582,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
306,False,"{'a': 0.6939999999999997, 'e': 0.046171028276992696}",25,20,8.43709670895612,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.6929999999999997, 'e': 0.045709317994222766}",20,13,13.262289149708376,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.6919999999999997, 'e': 0.04525222481428054}",20,6,22.973325461399035,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.6909999999999997, 'e': 0.04479970256613774}",25,20,9.874423554372648,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.6899999999999997, 'e': 0.044351705540476356}",20,8,22.251428225184508,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.6889999999999997, 'e': 0.043908188485071595}",30,8,40.97096545466565,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.6879999999999997, 'e': 0.04346910660022088}",30,11,31.722788310289776,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.6869999999999997, 'e': 0.04303441553421867}",20,9,19.30004848808758,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.6859999999999997, 'e': 0.04260407137887648}",20,14,11.125225342655298,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.6849999999999997, 'e': 0.04217803066508771}",20,7,26.098389459015035,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.6839999999999997, 'e': 0.04175625035843684}",20,0,34.73538546338951,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
317,False,"{'a': 0.6829999999999997, 'e': 0.041338687854852466}",20,14,9.259582229583035,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.6819999999999997, 'e': 0.040925300976303945}",25,13,21.475347001273445,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.6809999999999997, 'e': 0.0405160479665409}",20,13,14.121719645581877,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.6799999999999997, 'e': 0.040110887486875496}",30,10,31.468882457348794,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.6789999999999997, 'e': 0.03970977861200674}",30,13,31.00995580003105,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.6779999999999997, 'e': 0.039312680825886674}",30,20,14.153245464601309,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.6769999999999997, 'e': 0.038919554017627804}",30,17,24.224716400277334,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.6759999999999997, 'e': 0.03853035847745152}",20,7,24.369089921550334,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.6749999999999997, 'e': 0.03814505489267701}",25,10,27.239170959277924,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.6739999999999997, 'e': 0.03776360434375024}",20,0,33.047877398310405,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
327,False,"{'a': 0.6729999999999997, 'e': 0.03738596830031274}",20,16,9.560517634685912,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.6719999999999997, 'e': 0.03701210861730961}",25,3,38.79875385106567,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.6709999999999997, 'e': 0.03664198753113651}",20,15,9.541604318176603,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.6699999999999997, 'e': 0.036275567655825146}",25,9,31.126045507946625,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.6689999999999997, 'e': 0.03591281197926689}",30,8,41.35559588297554,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.6679999999999997, 'e': 0.03555368385947423}",20,13,11.552017418000077,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.6669999999999997, 'e': 0.035198147020879485}",25,12,20.309908444762264,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.6659999999999997, 'e': 0.03484616555067069}",30,24,10.072423370088805,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.6649999999999997, 'e': 0.03449770389516398}",20,16,6.869615256773065,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.6639999999999997, 'e': 0.03415272685621234}",20,16,8.46488098062999,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.6629999999999997, 'e': 0.03381119958765022}",20,0,30.90953004438922,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.6619999999999997, 'e': 0.03347308759177372}",20,0,27.846031727140673,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
339,False,"{'a': 0.6609999999999997, 'e': 0.03313835671585598}",20,16,6.537818051853161,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.6599999999999997, 'e': 0.03280697314869742}",25,8,26.565056339183332,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.6589999999999997, 'e': 0.03247890341721044}",30,18,23.337613110018353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.6579999999999997, 'e': 0.03215411438303834}",20,15,7.995366238537992,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
