trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,True,"{'a': 0.3, 'e': -3.2999999999999967}",30,0,-49.36617683600084,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
67,True,"{'a': 0.3, 'e': -3.3499999999999965}",20,5,16.209862711576747,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0.3, 'e': -3.3999999999999964}",35,0,33.48460174277435,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
69,True,"{'a': 0.3, 'e': -3.449999999999996}",25,0,-6.140430510279559,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
70,True,"{'a': 0.3, 'e': -3.499999999999996}",20,0,25.443099306325248,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,True,"{'a': 0.3, 'e': -3.549999999999996}",25,10,27.000014682679886,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0.3, 'e': -3.5999999999999956}",20,0,24.13769625056449,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0.3, 'e': -3.6499999999999955}",25,12,25.551820371297822,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0.3, 'e': -3.6999999999999953}",25,0,32.328902090000916,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,True,"{'a': 0.3, 'e': -3.749999999999995}",25,0,22.263524428340084,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,True,"{'a': 0.3, 'e': -3.799999999999995}",20,0,27.2024112148093,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,True,"{'a': 0.3, 'e': -3.8499999999999948}",25,13,23.676156592438467,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0.3, 'e': -3.8999999999999946}",20,0,28.73473310655392,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,True,"{'a': 0.3, 'e': -3.9499999999999944}",25,0,40.8766812083798,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
